-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 07/01/2021 
Location: Latitude  3.5952   Longitude 98.6722 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 173.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,DOY,T2M
2021,1,25.25
2021,2,23.92
2021,3,24.24
2021,4,25.01
2021,5,25.01
2021,6,24.92
2021,7,25.48
2021,8,25.37
2021,9,25.15
2021,10,25.25
2021,11,24.22
2021,12,24.76
2021,13,23.97
2021,14,24.74
2021,15,25.98
2021,16,25.78
2021,17,25.3
2021,18,25.37
2021,19,25.09
2021,20,25.23
2021,21,24.73
2021,22,25.12
2021,23,24.18
2021,24,25.2
2021,25,24.82
2021,26,25.53
2021,27,25.43
2021,28,25.08
2021,29,24.98
2021,30,24.73
2021,31,24.84
2021,32,25.26
2021,33,24.56
2021,34,25.3
2021,35,25.31
2021,36,25.67
2021,37,25.91
2021,38,26.04
2021,39,25.87
2021,40,26.26
2021,41,25.66
2021,42,25.63
2021,43,25.66
2021,44,25.98
2021,45,25.83
2021,46,25.44
2021,47,25.52
2021,48,25.26
2021,49,24.84
2021,50,25.01
2021,51,25.3
2021,52,25.94
2021,53,26.0
2021,54,26.08
2021,55,25.58
2021,56,26.13
2021,57,26.29
2021,58,26.32
2021,59,25.75
2021,60,25.62
2021,61,25.73
2021,62,25.93
2021,63,26.08
2021,64,26.38
2021,65,25.72
2021,66,25.91
2021,67,25.97
2021,68,25.6
2021,69,25.62
2021,70,25.64
2021,71,25.26
2021,72,25.49
2021,73,25.62
2021,74,26.18
2021,75,26.04
2021,76,25.78
2021,77,25.69
2021,78,26.04
2021,79,26.1
2021,80,26.31
2021,81,26.36
2021,82,26.6
2021,83,25.86
2021,84,25.94
2021,85,26.16
2021,86,26.03
2021,87,26.31
2021,88,26.55
2021,89,25.99
2021,90,25.92
2021,91,26.12
2021,92,25.95
2021,93,26.45
2021,94,26.33
2021,95,25.89
2021,96,26.49
2021,97,26.17
2021,98,25.86
2021,99,25.65
2021,100,26.1
2021,101,26.4
2021,102,26.51
2021,103,26.4
2021,104,26.4
2021,105,26.07
2021,106,25.87
2021,107,25.86
2021,108,26.3
2021,109,26.12
2021,110,26.76
2021,111,26.7
2021,112,26.39
2021,113,26.23
2021,114,26.62
2021,115,26.26
2021,116,26.76
2021,117,25.98
2021,118,26.33
2021,119,25.99
2021,120,26.63
2021,121,26.72
2021,122,26.55
2021,123,26.8
2021,124,26.73
2021,125,26.58
2021,126,25.98
2021,127,26.51
2021,128,26.43
2021,129,26.63
2021,130,26.83
2021,131,26.88
2021,132,27.01
2021,133,26.93
2021,134,26.0
2021,135,27.14
2021,136,26.25
2021,137,27.17
2021,138,26.75
2021,139,25.71
2021,140,27.65
2021,141,26.69
2021,142,26.75
2021,143,26.9
2021,144,27.58
2021,145,26.89
2021,146,27.27
2021,147,26.15
2021,148,26.65
2021,149,27.33
2021,150,27.2
2021,151,26.87
2021,152,26.87
2021,153,25.75
2021,154,26.69
2021,155,26.87
2021,156,25.9
2021,157,27.47
2021,158,26.8
2021,159,26.54
2021,160,26.62
2021,161,25.24
2021,162,26.83
2021,163,26.06
2021,164,25.76
2021,165,26.84
2021,166,26.86
2021,167,26.62
2021,168,26.35
2021,169,25.77
2021,170,26.14
2021,171,26.19
2021,172,25.2
2021,173,25.18
2021,174,25.06
2021,175,24.83
2021,176,25.91
2021,177,26.53
2021,178,25.6
2021,179,25.92
2021,180,25.36
2021,181,25.51
2021,182,26.12
