-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 04/01/2021 
Location: Latitude  3.5952   Longitude 98.6722 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 173.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,DOY,T2M
2021,1,25.25
2021,2,23.92
2021,3,24.24
2021,4,25.01
2021,5,25.01
2021,6,24.92
2021,7,25.48
2021,8,25.37
2021,9,25.15
2021,10,25.25
2021,11,24.22
2021,12,24.76
2021,13,23.97
2021,14,24.74
2021,15,25.98
2021,16,25.78
2021,17,25.3
2021,18,25.37
2021,19,25.09
2021,20,25.23
2021,21,24.73
2021,22,25.12
2021,23,24.18
2021,24,25.2
2021,25,24.82
2021,26,25.53
2021,27,25.43
2021,28,25.08
2021,29,24.98
2021,30,24.73
2021,31,24.84
2021,32,25.26
2021,33,24.56
2021,34,25.3
2021,35,25.31
2021,36,25.67
2021,37,25.91
2021,38,26.04
2021,39,25.87
2021,40,26.26
2021,41,25.66
2021,42,25.63
2021,43,25.66
2021,44,25.98
2021,45,25.83
2021,46,25.44
2021,47,25.52
2021,48,25.26
2021,49,24.84
2021,50,25.01
2021,51,25.3
2021,52,25.94
2021,53,26.0
2021,54,26.08
2021,55,25.58
2021,56,26.13
2021,57,26.29
2021,58,26.32
2021,59,25.75
2021,60,25.62
2021,61,25.73
2021,62,25.93
2021,63,26.08
2021,64,26.38
2021,65,25.72
2021,66,25.91
2021,67,25.97
2021,68,25.6
2021,69,25.62
2021,70,25.64
2021,71,25.26
2021,72,25.49
2021,73,25.62
2021,74,26.18
2021,75,26.04
2021,76,25.78
2021,77,25.69
2021,78,26.04
2021,79,26.1
2021,80,26.31
2021,81,26.36
2021,82,26.6
2021,83,25.86
2021,84,25.94
2021,85,26.16
2021,86,26.03
2021,87,26.31
2021,88,26.55
2021,89,25.99
2021,90,25.92
2021,91,26.12
